image_id,class,score,xmin,ymin,xmax,ymax,width,height
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,motorbike,0.96,326,740,398,873,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.93,648,685,843,891,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.91,785,671,921,811,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,rickshaw,0.80,81,693,181,847,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.69,693,677,900,831,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,motorbike,0.61,382,688,421,774,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,bus,0.60,786,648,853,677,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.58,593,691,668,784,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,bus,0.57,695,651,729,676,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,pickup,0.55,485,651,570,793,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,van,0.43,643,664,704,707,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,three wheelers (CNG),0.42,483,665,563,794,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,three wheelers (CNG),0.41,583,674,609,721,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,bicycle,0.39,441,711,462,768,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,minivan,0.39,643,664,701,707,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,bus,0.38,487,646,572,788,1024,1024
