image_id,class,score,xmin,ymin,xmax,ymax,width,height
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,motorbike,0.96,326,740,398,873,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.93,648,685,843,891,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.91,785,671,921,811,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,rickshaw,0.80,81,693,181,847,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.69,693,677,900,831,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,motorbike,0.61,382,688,421,774,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,bus,0.60,786,648,853,677,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.58,593,691,668,784,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,bus,0.57,695,651,729,676,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,pickup,0.55,485,651,570,793,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,motorbike,0.95,273,734,367,890,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.79,755,536,1004,882,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bus,0.69,562,657,601,713,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bus,0.66,530,666,585,735,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.55,628,666,756,797,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,truck,0.51,638,665,769,802,1024,1024
Sabiha_(01)_jpg.rf.f935c7fc51a14c64e34c17a17c41cb1f.jpg,bus,0.79,878,331,1012,627,1024,1024
